place,cat,target,imp,month,cart,ctr,pdp,clicks,tot_rev,spend,ros,isvt_rev,on_vt_rev,isct_rev,on_ct_rev,tot_ol_rev,tot_in_rev,vt_roas,ct_roas
App,Mobile,Brand,6474,January,8,0,17,0,0,66,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,6291,February,0,8,5,5,0,120,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,3525,October,0,0,2,0,0,50,0,0,0,0,0,0,0,0,0
App,Appliances,Brand,2686061,December,20479,14,190059,3819,6795204,41218,139,1270056,5525147,36763,199457,5724604,1306820,903035,6
App,Mobile,Brand,2680,January,0,7,3,2,0,38,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,717,October,0,28,0,2,0,13,0,0,0,0,0,0,0,0,0
App,Appliances,Brand,4305415,December,19490,5,171923,2101,8504617,47027,164,1053243,7451374,36294,239678,7691052,1089537,630882,6
App,Mobile,Browse,138,November,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,114,January,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,24,January,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,18,January,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,20821,November,1,2,6,5,6,249,0,0,6,0,0,6,0,9,0
App,Mobile,Brand,51780,January,13,5,155,26,26,655,0,0,26,0,0,26,0,13,0
App,Mobile,Brand,16601,February,1,5,11,8,60,207,0,22,37,0,0,37,22,7,0
App,Mobile,Brand,30163,November,2,10,15,30,82,487,0,0,82,0,0,82,0,17,0
App,Mobile,Brand,2426,November,0,12,2,3,114,48,2,0,114,0,0,114,0,277,0
App,Mobile,Brand,27385,January,1,3,43,8,120,394,0,50,70,0,0,70,50,7,0
App,Mobile,Browse,28687,October,2738,16,260,45,150,0,0,0,150,0,0,150,0,0,0
App,Mobile,Brand,19782,March,5,18,66,36,167,302,0,131,35,0,0,35,131,2,0
App,Mobile,Brand,84938,April,1,11,17,92,192,1389,0,130,62,0,0,62,130,12,0
App,Mobile,Brand,4175,November,0,5,0,2,199,54,0,199,0,0,0,0,199,56,0
App,Mobile,Brand,18578,June,7,12,43,23,218,287,1,0,218,0,0,218,0,43,0
App,Mobile,Browse,50865,March,0,20,82,100,221,806,0,221,0,0,0,0,221,0,0
App,Mobile,Browse,26538,March,1,11,44,30,276,345,1,0,276,0,0,276,0,34,0
App,Mobile,Browse,20806,June,1015,29,113,60,300,0,0,0,300,0,0,300,0,0,0
App,Mobile,Browse,33721,January,3012,1,81,5,375,0,0,173,202,0,0,202,173,0,0
App,Mobile,Brand,21341,March,3,4,58,9,376,248,1,212,165,0,0,165,212,22,0
App,Mobile,Brand,58174,October,1,3,40,15,465,781,1,0,465,0,0,465,0,22,0
App,Mobile,Brand,5772,February,0,12,61,7,472,112,4,0,472,0,0,472,0,86,0
App,Mobile,Brand,53406,April,1,3,33,17,480,691,0,233,247,0,0,247,233,59,0
App,Mobile,Brand,64116,October,2,1,74,4,480,933,1,0,480,0,0,480,0,74,0
App,Mobile,Brand,80722,October,10,1,61,10,542,1151,0,130,412,0,0,412,130,1555,0
App,Mobile,Brand,23082,October,0,0,36,1,742,230,2,300,442,0,0,442,300,5159,0
App,Mobile,Brand,1685,January,0,6,44,1,779,20,47,215,563,382,382,946,598,7175,38
App,Mobile,Brand,295275,November,9,11,205,334,977,4707,0,260,717,0,0,717,260,29,0
App,Mobile,Brand,24440,February,8,11,85,26,1089,403,3,125,964,0,180,1144,125,76,0
App,Mobile,Browse,50800,November,2294,17,172,86,1160,0,0,0,1160,0,0,1160,0,0,0
App,Appliances,Brand,72622,December,928,15,11194,112,215971,0,0,74221,141750,0,0,141750,74221,0,0
App,Mobile,Brand,367400,January,9,2,210,74,1182,5116,0,0,1182,0,0,1182,0,37,0
App,Mobile,Browse,32608,March,12,7,11,24,1430,0,0,0,1430,0,0,1430,0,0,0
App,Mobile,Brand,8737,February,5,7,88,6,1451,110,13,0,1451,0,0,1451,0,288,0
App,Appliances,Brand,652626,December,764,3,19876,201,275970,7544,31,41555,234415,0,280,234695,41555,21850,0
App,Mobile,Brand,280885,October,5,2,81,47,1697,3914,0,0,1697,0,0,1697,0,124,0
App,Mobile,Brand,312589,November,6,3,73,89,1772,4194,0,0,1772,0,0,1772,0,729,0
App,Mobile,Browse,70550,April,1895,7,135,50,1797,0,0,0,1797,0,0,1797,0,0,0
App,Mobile,Browse,143061,October,13819,4,313,61,1823,0,0,208,1615,0,650,2265,208,0,0
App,Mobile,Brand,12262,October,3,7,58,8,1863,153,11,174,1689,0,0,1689,174,7432,0
App,Mobile,Browse,69840,March,6,3,103,20,1953,0,0,0,1953,0,0,1953,0,0,0
App,Mobile,Brand,204794,November,10,3,249,53,2884,2532,1,305,2579,0,0,2579,305,163,0
App,Mobile,Brand,139001,March,24,3,169,45,3105,1485,2,990,2116,0,600,2715,990,4173,0
App,Mobile,Brand,399362,June,57,9,614,366,3248,6314,0,816,2432,0,0,2432,816,1062,0
App,Mobile,Brand,314000,June,30,2,258,49,3882,3122,1,1539,2343,0,0,2343,1539,4751,0
Desktop,Appliances,Intended,60916,December,12,15,33,28,12,855,12,12,12,12,12,12,12,12,12
App,Mobile,Brand,14928,January,21,7,459,11,4156,234,17,142,4014,0,0,4014,142,6129,0
App,Mobile,Browse,147866,November,6924,4,490,54,4503,0,0,100,4403,0,0,4403,100,0,0
App,Mobile,Brand,22081,January,5,15,269,33,4779,330,11,1196,3583,0,0,3583,1196,23611,0
App,Mobile,Brand,118613,March,44,10,425,115,4782,1882,2,1592,3190,0,0,3190,1592,3431,0
Phone,Appliances,Intended,35370,December,12,23,30,50,12,562,12,12,12,12,12,12,12,12,12
App,Mobile,Brand,494646,June,55,2,461,98,5395,5840,1,887,4508,0,0,4508,887,87,0
Desktop,Appliances,Browse,534,December,16,12,40,12,12,19,12,12,12,12,12,12,12,12,12
App,Mobile,Browse,3644,June,13,16,225,6,5648,56,99,133,5514,0,0,5514,133,34358,0
App,Mobile,Brand,323642,November,73,12,738,389,5904,5184,1,1171,4733,0,0,4733,1171,1645,0
App,Mobile,Brand,34218,October,69,17,679,59,5928,533,13,1075,4853,0,2004,6857,1075,11179,4
App,Mobile,Brand,460451,April,46,3,461,118,6060,5560,1,411,5649,0,0,5649,411,1369,0
App,Mobile,Brand,418081,October,5,2,168,76,6442,3950,2,0,6442,0,0,6442,0,2600,0
App,Mobile,Brand,531027,October,28,11,965,587,7100,8106,1,1596,5504,0,639,6143,1596,757,0
Desktop,Appliances,Browse,252,December,12,12,28,12,12,13,12,12,12,12,12,12,12,12,12
App,Mobile,Browse,208354,April,4943,5,497,98,8453,0,0,1100,7353,0,0,7353,1100,0,0
App,Mobile,Brand,87690,October,9,11,497,96,8582,1325,5,2444,6138,0,0,6138,2444,54787,0
Phone,Appliances,Browse,245,December,12,12,26,12,12,16,12,12,12,12,12,12,12,12,12
App,Appliances,Brand,1796852,December,963,8,17832,1401,388756,27808,13,25475,363281,0,1200,364481,25475,8143,0
App,Mobile,Brand,25579,June,7,3,318,8,10084,382,13,5142,4942,0,0,4942,5142,28311,0
Phone,Appliances,Browse,6204,December,16,12,33,12,1412,110,26,12,1412,12,12,1412,12,232,12
App,Mobile,Brand,484207,April,109,7,1475,326,11812,7810,1,2822,8990,0,0,8990,2822,5539,0
App,Mobile,Brand,17546,June,18,7,401,13,11861,261,40,1496,10365,0,130,10495,1496,4675,1
App,Mobile,Brand,69572,November,21,10,625,72,12473,1123,9,2289,10184,0,0,10184,2289,15258,0
App,Mobile,Brand,154112,November,38,3,590,53,12691,1868,6,717,11974,0,0,11974,717,32231,0
App,Mobile,Brand,367069,June,33,9,969,315,14115,5881,2,0,14115,0,0,14115,0,616,0
App,Mobile,Browse,223152,June,8376,5,733,104,15062,0,0,100,14962,0,0,14962,100,0,0
App,Mobile,Brand,136317,November,50,12,1173,169,16768,2231,6,2599,14168,0,0,14168,2599,5949,0
App,Mobile,Brand,242498,June,107,10,1536,248,18096,3879,3,5060,13036,0,0,13036,5060,4791,0
App,Mobile,Brand,56751,November,22,3,653,15,20829,707,18,8212,12617,0,0,12617,8212,39328,0
App,Mobile,Brand,134086,January,272,9,7728,125,21404,1820,11,1657,19747,0,260,20007,1657,2043,0
App,Appliances,Brand,118575,December,617,54,9342,642,410526,0,0,111928,298598,0,2574,301172,111928,0,0
